,column_num,sentence,index,overall,cat
57,66015,"The only complaints I have are the picture is blurry,you cannot actually see facial details on Jack or Sally.",66015,4,-1
58,66015,It is more like a silhouette picture & the charm hangs a bit behind the moon when worn.,66015,4,2
59,66015,Otherwise she loved it.,66015,4,-1
60,66016,"Bought this mask for a Masquerade Ball, it is super cure and good quality!",66016,4,3
61,66016,A couple of the whiskers kind of cover the eye but they are small so its not a huge issue.,66016,4,3
62,66016,Overall a super cute mask and good quality for the price.,66016,4,3
63,66017,I like this a lot!,66017,4,-1
64,66017,The bottom part and the straps look great-but the top was wayyy too small.,66017,4,1
65,66017,I usually wear a 6-8 so I got a medium I ended up switching out the top part (it slides out) and slid in a bando black top :) But I do like it a lot  !,66017,4,1
66,66018,"The top is a little odd, but not too bad.",66018,4,2
67,66019,Great fit for my Alice in Wonderland costume.,66019,4,1
68,66020,Product was delivered on time and was described with detail.,66020,4,3
69,66023,they are not shoes,66023,4,-1
70,66026,Not tight around the head at all.,66026,4,1
71,66027,For this price it is an okay value.,66027,4,3
72,66027,The color is as it is seen.,66027,4,2
73,66027,It is a little bit on the tough side though.,66027,4,3
74,66027,Overall satisfied with the product.,66027,4,3
75,66027,My mom wears european size 37 and I bough size 7 for her amd it fit well,66027,4,1
76,66028,I love my prayer shawl!,66028,4,-1
77,66029,This Bodysocks - Inflatable Ride Me Unicorn is super cute.,66029,4,2
78,66029,The only reason I didn't give it 5 stars is that the fan to inflate the costume is in kind of a weird place where it keeps getting blocked by my leg.,66029,4,-1
79,66029,I like the band it back of the hat that helps it stay on.,66029,4,-1
80,66030,"Bag looks just like in the picture, and appears to be of good enough quality for the price, bought it for my girlfriend, who seems to like it too.",66030,4,3
81,66031,Just to short for my taste.,66031,4,1
82,66031,I will have to wear it with tights,66031,4,-1
83,66032,"I'm a 34 DD and I LOVE, LOVE, LOVE these sports bras!",66032,4,-1
84,66032,"I wear one to work each day because they provide support, yet are SUPER comfortable!",66032,4,3
85,66032,"When I workout, I usually run and I have to put on 2 of these bras, but, I guess that's the plague of having huge boobs.",66032,4,-1
86,66032,I have yet to find a sports bra that gives me the hold and support that I need when running with just one bra.,66032,4,-1
87,66032,"But, at least with these bras, like I said before, they're so comfortable, EVEN with 2 of them on!",66032,4,3
88,66032,"I love the zipper because I hate having to pull a bra over my head, and it makes it easier to take them on and off when I'm wet or sweaty, which is a plus.",66032,4,3
89,66033,"Good clarity, low internal reflection.",66033,4,3
90,66033,Tint is not nearly as dark as factory lenses though; in open water or on snow you may still feel some minor discomfort from reflected sunlight.,66033,4,3
91,66033,"Price is right, though.",66033,4,-1
92,66034,Nice looking although a little large.,66034,4,2
93,66034,would fit perfectly in extra small but I will take it in under the arms,66034,4,1
94,66036,I loved the look ......but turned the first time I wore it  ;/,66036,4,-1
95,66037,It was just right!!!,66037,4,1
96,66037,Just right for the occacion.,66037,4,-1
97,66038,"The next size up would be better, but not so much that I am returning it.",66038,4,1
98,66038,"I am 5'7"" and 130 lbs and got the extra small, if that helps anyone.",66038,4,1
99,66038,I only went with the extra small because of the other comments.,66038,4,1
100,66038,Plan to get other colors as I love this style shirt and is usual the style I reach for.,66038,4,2
101,66038,"Have not washed or worn yet, but the color is vivid and appears well put together.",66038,4,2
102,66038,Normally I would wear a medium which is the size I purchased next.,66038,4,1
103,66038,"It was a bit too big, will go for the small next.",66038,4,1
104,66039,"Had to return since skirt was shorter than expected, ran smaller than sizing chart recommends, and the zipper isn't all that great.",66039,4,-1
105,66039,"Go a size larger than you'd expect, it'll work for a night though.",66039,4,1
106,66039,"Customer service was very good, had to return the costume since the zipper opened up on the back and it wasn't even all that tight, ended up pulling out the stitching since the zipper broke and couldn't get the zipper down.",66039,4,3
107,66039,Confident in doing business with them in the future since the return wasn't a hassle.,66039,4,-1
108,66040,It feels right but little loose for me.,66040,4,1
109,66041,I wear size 12 us.,66041,4,-1
110,66042,"I like this shirt, but it is a little bit big on me.",66042,4,1
111,66042,I'm 105lbs and normals wear a small.,66042,4,1
112,66043,My wife purchased this women's v-neck to wear to work in as a teacher.,66043,4,-1
113,66043,She ordered this in a large and it fits her the way other large shirts do with the exception that this one is intended to have a baggy feel to it.,66043,4,1
114,66043,She likes that it is very loose and comfortable to wear but nice enough to wear to work and still be dresses appropriately.,66043,4,3
115,66043,Teachers need to be comfortable and professional at the same time.,66043,4,-1
116,66043,She likes the material because it is very soft and not to thin.,66043,4,3
117,66043,The seams are sewn well and should hold up over time and use.,66043,4,3
118,66043,The colors are fun and give off a nice pleasant vibe.,66043,4,2
119,66043,"When it arrived there were no strange smells, stains, or issues with the shirt.",66043,4,3
120,66043,I did not receive a discount for an honest review of this shirt or any other types of compensation.,66043,4,-1
121,66043,I simply try to review all purchases to help others decide if this will work for them or if they are getting a quality product.,66043,4,3
122,66044,"I got the necklace, and by itself it's pretty good quality, but when I wear it at school and I lean down to do work or something and I sit back up it often gets caught in the desk, and breaking the chain, off the chain, etc.",66044,4,-1
123,66045,"Vans are always comfy, if you haven't tried the brand give it a go.",66045,4,3
124,66045,It's always my top brand of all day comfort kicks.,66045,4,3
125,66047,love the dress ... only wish there was a slit up the side!,66047,4,-1
126,66048,the pocket is an awkward size but it fit me well,66048,4,3
127,66049,Very simple and cute.,66049,4,2
128,66049,At first I wasn't sure about the sizing but was pleasantly surprised to find this bathing suit was made for women who weigh more than 95 pounds.,66049,4,1
129,66050,Very comfy fits great!,66050,4,3
130,66051,"fits well, a little delicate but fun to wear.",66051,4,1
131,66053,Light weight and comfortable.,66053,4,3
138,66055,Great products for the price.,66055,4,-1
139,66057,"Haven't tried it as of yet, but the construction, material weight, and appearance are all quite nice.",66057,4,3
140,66057,"As Grillardin in a commercial kitchen, I'm hoping the extra length provides better spatter protection than the ""shorties"" we're given to use.",66057,4,3
141,66058,"Like the slim design will use one for receipts and gift cards and another as my wallet, can carry both in my purse withou unnecessary bulk.",66058,4,2
142,66059,"Love this dress, sooooo comfortable and cute!!",66059,4,3
143,66059,Only 4 stars because it runs large.,66059,4,1
144,66059,Definitely would order a size down.,66059,4,1
