,column_num,sentence,index,overall,cat
70,88048,a tad bit bigger than expected but an amazing shirt,88048,5,1
71,88049,This product is amazing.,88049,5,-1
72,88049,everything about it screams luxury.,88049,5,3
73,88050,"It fit well, and was absolutely darling!",88050,5,1
74,88050,I received many compliments on my taste in hats at the tea party!,88050,5,3
75,88052,"I ordered according to the size chart, and it fits perfectly.",88052,5,1
76,88052,"If you are wanting it to be a little loose, I suggest going up a size.",88052,5,1
77,88054,More comfortable than a regular bra,88054,5,3
78,88055,Darling and well made coat.,88055,5,-1
79,88055,"I am usually a women's medium, this XL is a perfect fit in shoulders, sleeve length.",88055,5,1
80,88056,I always find that photo reviews will help me decide on the product that I am interested in buying.,88056,5,3
81,88056,"I followed someone else's review that was about the same height and weight as me, and I'm so happy I did!",88056,5,-1
82,88056,"I'm 5'5 and 130lbs, and purchased a size medium.",88056,5,-1
83,88056,Hopefully this helps someone like it helped me.,88056,5,-1
84,88056,"I love how you can also adjust the jacket to your liking, I have enough room to put a sweater underneath.",88056,5,-1
85,88056,"I will be wearing this for all the chilly seasons, it will go adorable with absolutely anything.",88056,5,-1
86,88056,"If you're hesitating on buying, don't.",88056,5,-1
87,88057,Beautiful and well made!,88057,5,3
88,88058,I wear it regularly and get compliments all the time!,88058,5,-1
89,88059,I wore this dress to a masquerade party and received many compliments.,88059,5,3
90,88060,Has also black rynstones,88060,5,-1
91,88061,Great set of chain and bracelet.,88061,5,3
92,88063,THIS IS THE BEST SHIRT IN EXISTENCE AT THE MOMENT.,88063,5,3
93,88063,PLZ ORDER THIS TO FULFILL YOURSELF.,88063,5,-1
94,88064,I love my top,88064,5,3
95,88065,good design and color little jarger fit but would rather have large than small side.,88065,5,3
96,88066,I didn't have the same experience as others in that mine came fully shaped and has lasted through the last 3 months of rehearsing a dance.,88066,5,-1
97,88066,"The shape has held up well, the fit is perfect for an 11 year old girl, and the quality is high.",88066,5,-1
98,88069,"Purchased for my girlfriend for her BD!  """,88069,5,-1
99,88069,"I "" fell in love with it...lol.",88069,5,-1
100,88069,So did she....VERY BEAUTIFUL!,88069,5,3
101,88069,"It was shipped VERY promptly, great packaging, well made, great quality!",88069,5,0
102,88070,"Very pretty, Goes with nearly everything.",88070,5,3
103,88071,I had a pair of these forty years ago when I went to college in Wisconsin.,88071,5,-1
104,88071,I love them but didn't think they made these anymore until I found them on Amazon.,88071,5,3
105,88071,"Northern Winters are very cold, and I will never be without a pair of your EAR MITTS again.",88071,5,3
106,88073,"I haven't worn it yet so I can't comment on how durable it is or if the rhinestones will stay on, so I will comment again after my wedding.",88073,5,-1
107,88073,"But as far as the appearance and quality, it looks great!",88073,5,3
108,88073,And for the price you can't beat it!,88073,5,3
109,88074,"These jeans are super nice I love them,  they fit perfectly and I get compliments about them.",88074,5,1
110,88074,"I ordered the pink color,  it's a nice soft pink color, now I need the khaki color,  I need every color.",88074,5,2
111,88074,Great for the summer.,88074,5,-1
112,88074,"I have to also mention that the material is soft and stretchy,  very comfortable.",88074,5,3
113,88074,"I'm 5'5  155lbs , I'm very ""hippy"" with big butt and I ordered the size 7 and it fits just right.",88074,5,1
114,88075,Love the print; fit just right.,88075,5,1
115,88076,"Fit was great, padding was great for long rides, legs stay where they are supposed to be and don't ride up!!",88076,5,1
116,88078,It's light and comfortable.,88078,5,3
117,88079,Bought size 12 months for my 20-pounder and they are terrific!,88079,5,3
118,88079,"They fit him and he still has room to grow, so we will get plenty of use out of them.",88079,5,1
119,88079,He's been using these for months now and is warm throughout the night.,88079,5,3
120,88079,"They've also stayed soft after being washed about twice a week, so this is definitely a product I'd recommend to anyone looking for alternatives to sleep sacks!",88079,5,3
121,88080,Got me through nine months and I was even able to wear one pair of pre pregnancy jeans all the way through because of this!,88080,5,-1
122,88081,Cute dress and accurate sizing.,88081,5,1
123,88082,Very happy with this item.,88082,5,3
124,88083,This is the coolest looking necklace ever!,88083,5,3
125,88083,It looks great with any solid top.,88083,5,3
126,88083,Totally blown away by it.,88083,5,3
127,88084,Bought it a while ago and hasn't broken like my other chains I like it.,88084,5,3
128,88085,"My husband is Large, but I read the reviews before that I buy it and bought the XL, which fits him perfectly...",88085,5,1
129,88086,This is a beautiful pendant.,88086,5,3
130,88086,"The colors, in person, are as vivid as the product image.",88086,5,2
131,88086,"The chain is the weight of inexpensive costume jewelry, but is sturdy and bright.",88086,5,3
132,88086,"Although I purchased it as the centerpiece of bedroom mirror decor for spiritual reasons, I'd have few concerns about the necklace breaking with repeated wear.",88086,5,-1
133,88087,Great shirt but size up.,88087,5,3
134,88088,It runs small but per other reviews I expected that and ordered larger.,88088,5,-1
135,88088,"I ordered an XL and wear S/M normally (I'm 5'4"" 115lbs for reference).",88088,5,-1
136,88088,Very comfortable and cute.,88088,5,3
137,88088,Definitely made for small chested people add this will literally be the very first swimsuit ice owned since puberty to actually fit my practically flat chest,88088,5,3
138,88089,Fits everything I need.,88089,5,1
139,88089,The door hanger is a sweet bonus.,88089,5,-1
140,88090,Very happy with the looks of this coverup.,88090,5,3
141,88091,Had a wee problem with original order but seller made everything right and was very thorough and courteous.,88091,5,-1
142,88092,I didn't expect to look this good!,88092,5,3
143,88092,Looks exactly like in the picture!,88092,5,3
