,sentence,senti
61,"Ordered according to size chart listed in description of XL for 32"" bust, but this is more like 42"".",2.0
62,"Also, the fabric in front is only connected at center of bust, which I didn't notice in the pics displayed.",2.0
63,These are much cheaper looking and feeling than the picture.,2.0
64,"The star isn't as pointed and it isn't a jewel, it looks like some really cheap green paint.",2.0
65,Cheap looking,2.0
66,Watch hands broke after the first day.,2.0
67,Waste of money.,2.0
68,"Do not waste your money unless you want a long sleeve (not 3/4 as shown), tight (even though I ordered a size up) and wildly inappropriate fabric choice, shirt.",2.0
69,"The sleeves are made from a thin, cheap swimsuit-like fabric.",0.0
70,"I do not srw, and I could have sewed a better skirt with my dominant hand behind my back.",2.0
71,"The elastic waistband it about 2"" wide and the fabric that is sewn around it is uneven and sloppy.",2.0
72,The waistband is terrible and the only answer is to purchase another skirt.,2.0
73,"In Addition to the attrocious handiwork, the fabric is very thin.",0.0
74,The width is appropriate fitting.,1.0
75,"I ordered a medium hoping that the skirt could truly be worn ""high waisted, but if your measurements are similar to mine don't count on it, unless you prefer the skirt to be about 3"" above your ankles.",2.0
76,The size chart given is way off!,2.0
77,The one I ordered look like it could fit a 3-4 year old.,0.0
78,"Contact seller, they gave me a credit of $1.25 

This seller must be from China and need to update the size chart so people can order the correct size.",2.0
79,Not only is it too small (I ordered a size medium and it fits like a size extra small) but I had to have help removing the dress because it it sooo uncomfortably small in the chest area.,2.0
80,There are no zippers or buttons so it's just on when it's on.,0.0
81,There is NO room at the top to move and it literally sucks in your chest.,2.0
82,I am a B cup so it's not like I have huge boobs that would ever cause that.,2.0
83,I was hoping to get a quality piece but this sizing it ridiculous!,2.0
84,I have ordered pieces that have come in from China so I knew to order a size larger but this is crazy!,2.0
85,The dress does look exactly like this but its made for a Barbie doll...So mad about the sizes.,2.0
86,I ordered this plenty big and yet it might not even fit my 11 year old daughter...what an epic fail!,2.0
87,Bad quality it's polyester ugh !,2.0
88,cheap looking to tinny,2.0
89,This was not true to size,2.0
90,"I returned it and have yet to get my money back I ordered a size bigger , received it did not like how it fit and returned it got my money back for that one but not this one!",2.0
91,poor quality.,2.0
92,"About 3 sizes bigger than the listed size, I could've fit another person inside it with me, for the price the quality wasn't bad, but I wouldn't recommend it based on the mis-sizing.",2.0
93,Look really cheap and it's not shinny how look in the picture.,2.0
94,It's more like dark gray almost black.,0.0
95,Not happy at all waste of money,2.0
96,The fit is much smaller than expected.,2.0
97,The material is scratchy and the seams are already breaking apart.,2.0
98,This item is NOT sized correctly.,2.0
99,"It's a great skirt, material is nice, flowy and cool.",1.0
100,It broke easily,2.0
101,Cute swimsuit but it's unwearable even having ordered XXL when I'm normally about a Medium/Large in swimsuit sizes.,2.0
102,"It would've fit me if it was 1-2 sizes bigger, maybe XXXL?",2.0
103,"I'm 140 lbs & it's made for someone shorter than 5'6 & like everyone said, the top part is very narrow & tiny in general, & wouldn't fit a 36C.",2.0
104,Material is stretchy and a very faded purple.,0.0
105,Terrible quality!,2.0
106,"The advertising was not at all correct for,sizing.",2.0
107,Small was for 2 to 4 yr olds.,0.0
108,3x is about a size 16.,0.0
109,Super cute but too small to pull over hips.,2.0
110,The product was not the same as the picture,2.0
111,2 shirts in the same size but different colors.,0.0
112,Each fit differently.,2.0
113,Very cheap material and it does not fit right.,2.0
114,Screen printing is poor and shirt is thin,2.0
115,Cheap and see through material.,2.0
116,"False advertising, it doesnt look anything like the picture.",2.0
117,I understand that this bag was cheap but NOWHERE in the description did it say it was going to be GREEN LINING / INSIDE.,2.0
118,Bad quality.,2.0
119,Not even the right colors and awful stitching..,2.0
120,This is girls sizing not adult womens.,0.0
121,These headbands are NOT elastic and do NOT stretch.,2.0
122,"If I attempted to put on my 10 month olds head, I would have to un-tie it and then re-tie once it's around her head.",0.0
123,Way too small and I used the size chart,2.0
124,Even after reading all the reviews and ordering 2 sizes up it was way too small!,2.0
125,"The
 Hat was wrinkled upon arrival and the ribbon around the hat was ripped off.",2.0
126,The material was real cheap and see through!,2.0
127,Did not fit as expected!,2.0
128,Buy at least one size up if you are going to order!,2.0
129,"BAD QUALITE - ALL TRIMM HAVE STRANDS HANGING ALL OVER> LACE IS  NO EVEN, LOOK LIKE DEMAGED.BAD SEWING JOB DO NOT BUYED",2.0
130,Broke after 2 days!,2.0
131,Broke in half after wearing it on my bracelet 5 times.,2.0
132,"FOR ME, FIT WAS GOOD BUT PRODUCT is CHEAP CHEAP CHEAP..everything FELL apart before first wash..PLEASE do not waste your  money, honeys!",2.0
133,"Good seller who refunded immediately.....but it was dirty beige VINYL.....not leather, with neon orange cheap toggle flowers.",2.0
134,"This is stretchy tshirt/pijama material, and the white is absolutely see through.. Beautiful design , cheap material.",1.0
135,"It feels like felt, I am usually a medium and bought an xtra large due to size chart...",0.0
136,It was still small in the arms when reaching.,2.0
137,(Tight around the back) It also didn't come with a tie.,2.0
138,the dress runs small I am a 5-6 maybe a large or extra large would have fit,2.0
139,"Poor quality, he logo is faded... ordered item 8/26 received item on 10/15.",2.0
140,Just a terrible fit.,2.0
141,difficult to insert into ear.,2.0
142,The zipper broke the first time I opened it,2.0
143,I am small framed and order a small but the  small was too small,2.0
144,It was so strong that my daughter was uncomfortable trying it on.,2.0
145,Arrived about 4 sizes smaller than listed.,2.0
146,Broke upon first touching it.,2.0
147,Bottom broke off and won't stay properly,2.0
148,It arrived WEEKS later and has absolutely no stretch at all.,2.0
149,Broke within first day of use,2.0
150,The sizing ran way smaller than normal for a men's medium.,2.0
151,"I give no stars for this top, very disappointed, poor quality, poor cut even the color is poor, I got a peach top instead of orange!!",2.0
152,"These pants in an X large would not have fit any , I gave them to my friend who is very small and they didn't even fit her",2.0
153,I could not even get it up over my knees to try it on.,2.0
154,Could barely get it off it just sticks to anything.,2.0
155,"It doesn't just run, it's extremely small.",2.0
156,Very cheap quality.,2.0
157,Fabric is cheap and thin.,2.0
158,Zipper is very hard to use.,2.0
159,You can get better quality at Walmart.,2.0
160,I ordered a 2XL and it fit like a XL very tight.,2.0
161,If you Order get a size bigger,0.0
162,"It was too small and the quality is poor,  but is cheap I can't be that picky.",2.0
163,The photo doesn't show how incredibly cheap this item really is!,2.0
164,The gold is so bright it looks plastic!,2.0
165,This is definitly a dollar store item & to think they have it priced over $5 is a rip-off!,2.0
166,They fall apart.,2.0
167,Then crystal is nice and large but the metal is too weak to hold them.,2.0
168,They fell off before I could wear them.,2.0
169,The look would be great but you need to secure the crystal somehow.,1.0
170,Zipper is so weak.,2.0
171,very poor quality!,2.0
172,This is not good and easily broke waste of money,2.0
173,It was small.,0.0
174,"Very cheaply made, runs way too small.",2.0
175,"I'm 5'7, wouldn't say I'm overly tall.",0.0
176,So insanely small!!!!,2.0
177,Didn't even fit around my small child's neck.,2.0
178,"I ordered XXXL and can't even pass my arm in the sleeve , the chest should be 47 ..  main is 40 and not close this is a joke .. the material is tin, the fur is white .. garbage",2.0
179,the color and fabric is beautiful!,1.0
180,but WAY TOO SMALL!,2.0
181,"Poor quality & fabric, I ordered XL size and I received XS size.",2.0
182,"Apparently, Asian XL is American XS...disappointing",2.0
183,Poor quality for Eileen Fisher.,2.0
184,Shirt is short and too boxy which does not look flattering.,2.0
185,The fabric is completely different from what the Picture shows.,2.0
186,It was not true to size at all i couldn't even wear it too small!!,2.0
187,Waste of money!,2.0
188,I tryed it on but don't fit,2.0
189,It smells like mold and there are pulls in the cheap ass fabric.,2.0
190,"When it arrived it had such a very strong chemical smell that I could not get rid of, so I donated it.",2.0
191,NEVER was able to wear it.,2.0
192,very sad a size 8 fits like a size 12,2.0
193,Fit is small and the material is cheap.,2.0
194,Way too big and no draw string!,2.0
195,Runs real small,2.0
196,"Poor quality, poor stitching... Makes you wonder what people deem as excellent.",2.0
197,This outfit is so cheap I use the top to sleep in and I wear the skirt around the house to do household chores...,2.0
198,Dis not fit,2.0
199,The xl/xxl size hat fits no differently than any other l/xl hat.,2.0
200,Again it's too bad companies don't realize we are not all the same size people !,2.0
201,"If you're thinking of buying this top and you're an American plus size, forget it.",2.0
202,"This is the strangest sizing I've ever seen, for a petite person.",2.0
203,I didn't know petite people wore XXXXL??,2.0
204,I didn't notice the measurements are in cm not inches.,2.0
205,"I bought it thinking it would be loose like they described and saw the measurements, but didn't see cm.",2.0
206,It is so small I couldn't even get it over my head.,2.0
207,These foreign companies selling to Americans need to state these are Asian sizes and run small and measure clothing in inches if you're selling to America.,2.0
208,We don't use cm for clothing.,2.0
209,Definitely not true to size.,2.0
210,I normally wear a small/medium and ordered a large in this and it is so tiny it fits my 10 year old daughter.,2.0
211,"Cheaply made, poorly fit.",2.0
212,It was too small.,2.0
213,"I just got my dress today and it looks nothing like the picture or description, it's a one shoulder strap dress with frills only toward one direction.",2.0
214,The worst part is that the pictures and description say it is lace up but it has a side zipper poorly attatched.,2.0
215,"Second, they are extremely tight and damn near impossible to get on and then when I do finally get them on they are extremely, excruciatingly uncomfortable.",2.0
216,Garbage.,2.0
217,"Not flowey like photo, stiff lace.",2.0
218,Still too small for my 12 year old daughter.,2.0
219,Horrible fabric and cheaply made.,2.0
220,I was really unhappy with the sweater...it was not fitted as I expected.,2.0
221,It also had a bad smell and seemed used not new.,2.0
222,"It says 100% cotton, it was not cotton at all but 100% lycra.",2.0
223,This item would tightly fit for a four year old.,2.0
224,"It was a weird, tight, reflective piece of clothing, and not the cotton t-shirt we paid for.",2.0
225,A full two sizes too small and not the listed material.,2.0
226,We can see on the label it came directly from China to Japan in a plastic pouch (no box even).,0.0
227,"The items we ordered from America all got here sooner, some ordered as late as a week ago.",2.0
228,Unbelievably cheap shiny material with dots that are more blueish gray blotches of ink than polka dots.,2.0
229,"Too small, quality not good",2.0
230,It look cheap,2.0
231,Way to small,2.0
232,WAY too small.,2.0
233,I understand this was a cheap price but does not fit well and falling apart.,2.0
234,No allowance for normal shoulders or hips.,2.0
235,"I ordered this shirt for a second time, because the first was great quality.",1.0
236,This second shirt was not the same quality printing or shirt.,2.0
237,The shirt & the print are terribly faded.,2.0
238,"My son washed it, so I didn't send it back but he'll never wear it.",2.0
239,Six XL so small I gave them to my 10 year old daughter,2.0
240,Way too small!!!,2.0
241,I bought a xl and I usually wear a large and it still didn't fit.,2.0
242,It fit my 8 year old daughter perfectly.,1.0
243,This item broke within 10 minutes of me wearing it.,2.0
244,Smaller fit was hoping for higher quality fabric.,2.0
245,The fit is on the small side around the shoulders and the fabric is horrible- cheap and transparent.,2.0
246,Bad material.,2.0
247,Not soft for babies.,2.0
248,Shirt comes with holes in it but it's part of the 'design' but looks rugged.,2.0
249,Short are hard material.,2.0
250,"Looks vute but once received it actually looked more like a bowling bag very minimal space, pockets, or zips for such a lrg bag  Also, it had a strange odor?!",2.0
251,Other than that I love the tank tops.,1.0
252,Way too small,2.0
253,"It stated that this was ""true to size"" but it was WAY too small !",2.0
254,The bag itself is pretty but it is not durable.,2.0
255,The sleeve ripped off within 3 days and the zipper broke the day after that.,2.0
256,It is flimsy and will break down soon.,2.0
257,This bag is quite possibly the worst quality I have ever seen.,2.0
258,Don't waste your money!,2.0
259,Super cute but to small.,2.0
260,"Loved the look in the picture but in reality, it's WAYNE too small.",2.0
261,I ordered a medium and it fits like a small.,2.0
262,"To be safe, order 2 sizes up.",2.0
263,Size is larger than said and made extremely cheap,2.0
264,Too small,2.0
265,"First of all, the size is way too small.",2.0
266,And not even flexible enough to pull over the head.,2.0
267,Cheap low quality fabric,2.0
268,"Material not the greatest, no happy, gave away.",2.0
269,"Bought a 2x, two sizes bigger than I am for safety sake, STILL about a size too small.",2.0
270,Not just in the waist but in the legs.,2.0
271,"I feel like allowance for size, in respect to plus sized items, there must be a thought that our legs aren't stick thin and waists/hips aren't the only thing large in width.",2.0
272,I'm very disappointed with my purchase and warn you lovely ladies that the fit is small and cuts off circulation to your ankles if you manage to tolerate the squeeze.,2.0
273,It's so soft and fits perfect so I wanted another in a different color.,1.0
274,I was very dissatisfied.,2.0
275,Style is cute but sole of the shoes fell off after one day.,2.0
276,The knit on the pants unraveled and created a huge horizontal slit/run on the thigh of the pants after wearing the just once to leave the hospital.,2.0
277,The fit is awkward and weird.,2.0
278,They have no shape to them and are very big.,2.0
279,"I already picked the largest size which is XXL,which looks like will fit me according to size chart, I usually wear Medium, still it is smaller and shorter.",2.0
280,it would not cover my boobs properly and it is not stretchable.,2.0
281,i tried to return it but it will cost me twice the price of this item to ship it back.,2.0
282,Sizes are wrong,2.0
283,The belt was shorter than advertised.,2.0
284,The buckle would not close on the belt.,2.0
285,But it won't zip past the lace the zipper is to weak for the material,2.0
286,They broke!,2.0
287,Extremely small...,2.0
288,Very upset the item showed up dirty!,2.0
289,"The hardware that holds the strap, broke the very 1st time I used it, to make matters worse I keep trying to get ahold of the company and ask them if we can just exchange.",2.0
290,"It's great looking, just cheaply made, I'm so sad to say that...I hardly give such a low rating but their customer service and hardware deserves it.",2.0
291,So ive worn the black hoops about 2 weeks.,0.0
292,"They ran very small, not satisfied!",2.0
293,I ordered one size bigger than mine and it wap way to large.,2.0
294,Just stay with your size.,0.0
295,The print on the has nothing to do with the one on the picture.,2.0
296,On the picture is a delicate baroque design and the one I received is thick and doesn't even look like flowers.,2.0
297,The black waist line is just an elastic band.,2.0
298,Oh and to top it off it had a slit in the back...,2.0
299,"Cute but these shoes run way too small ,also the usb to recharge is right on the ankle part of the shoe super uncomfortable ,my son only tried them on and didn't wear them once because is too small ,bought size 12 but it was more like a 10 1/2",2.0
300,The picture is misleading....it looks bluish in color but really it is cheaply made custom jewelry.,2.0
301,Because the top was way too small,2.0
302,The shirt smelled like burlap despite washing it three times.,2.0
303,This bracelet was damaged when I received it.,2.0
304,It looks cute but is very poorly made.,2.0
305,Smaller than what I expected do not like item.,2.0
306,"beautiful suit, WAY TOO SMALL.",2.0
307,Very disappointed the zipper was broke on it smh,2.0
308,Received wrong size....,2.0
309,"Super soft, fit well, look great, fantastic price.",1.0
310,After the 1st wash i noticed 2 holes in the fabric.,2.0
311,There is absolutely no way that this is a large.,2.0
312,It was a small.,0.0
313,This is absolute nothing like the picture.,2.0
314,It is made out of a pleather like material.,0.0
315,It was definitely false advertising.,2.0
316,Doesn't look like photo.,2.0
317,Ran very small.,2.0
318,Fabric is rough and cheap.,2.0
319,Dress size does not match US  women's clothes sizes,2.0
320,"the belt had a very strong, bad smell to it and I immediately threw it into the trash and took the trash out.",2.0
321,I got an ugly cheap halter looking top and to make matters worse it is huge.totally disappointed.,2.0
322,Nothing like the picture the material is thin and cheap looking when the dress on the model looks lined and  elegant.,2.0
323,runs large.,2.0
324,Would have been a nice top otherwise.,1.0
325,I would probably order your size or a size small.,2.0
326,DO NOT order bigger.,0.0
327,sent back - poor quality,2.0
328,Very poor quality.,2.0
329,the  item SMELLS of chemicals - I thought if I washed it the odor would disappear - it does NOT - I bought it for an upcoming trip - by the time I returned and started the return process - I had missed the return deadline.,2.0
330,I don't mind spending money for a quality product however these socks are NOT good quality.,2.0
331,First of all when I put the socks on they only came over the ankles about 5 or 5 inches.,2.0
332,Very short compared to standard socks.,2.0
333,secondly by the time I got to work in the morning the socks would not stay up I had to use rubber bands to keep them up..... Do not waste your money!,2.0
334,"An aweful, unflattering clownish sort of design.",2.0
335,Maybe it because I'm a plus size girl (14-16).,0.0
336,"It's a very thin-like material, almost see-through like.",0.0
337,Back of the shirt was BLANK.,0.0
338,Just a generic black t-shirt with cheap small writing on the front.,2.0
339,Horrible product!,2.0
340,paper wallet the clip or flap isn't even magnetic.,2.0
341,Cheap material turns this sexy jewelry into an undesirable product.,2.0
342,Poor quality.,2.0
343,Small.,0.0
344,They did not fit over my glasses like they were supposed to.,2.0
345,The top was almost too big and the bottoms were way too small!,2.0
346,Material was a very shabby quality.,2.0
347,"CHEAPLY, CHEAPLY made!",2.0
348,Broke easily,2.0
349,It had a chip right in the front and glued globed around the silver part.,2.0
350,The chain has snapped twice with very little pressure.,2.0
351,It was broken and a piece of crap.,2.0
352,Extremely small even when designated as extra large.,2.0
353,"Not true to size at all, I ordered one size higher than I normally wear and still two to three sizes too small.",2.0
354,Not happy at all with this product but still very cute.,2.0
355,Don't bother with this garbage.,2.0
356,They hug my toes a little too tight :(,2.0
357,cheap looking,2.0
358,largest size is a joke.,2.0
359,"super cheap, but you get what you paid for.",2.0
360,Very cheap & way too small (sizes are off),2.0
361,I wear a large in Us and these.,0.0
362,Fit as a small.,2.0
363,The xlarge us more like a tight large.,2.0
364,The material is paper thin and shrunk rediculously.,2.0
365,I used it twice and the handle broke very cheaply made.,2.0
366,The first time l tryied it on the metal part fell of,2.0
367,Ordered 2xl for Christmas presents.,0.0
368,Love the pic on the shirt BUT it would take both shirts to make a 2xl.,2.0
369,Very small!,2.0
370,XL would not even fit one leg,2.0
371,"It says US sizes, I went by the sizing chart.",0.0
372,"I am normally a 3X, and I know online sizes are different, so I ordered the 5X just to be safe.",0.0
373,"Well I got it, and it was smaller than a 2X, I couldn't get it past my thighs.",2.0
374,There was Japanese or type of Asian writing on the tag inside the swimsuit.,0.0
375,"Trying to resolve.....
Do not suggest unless you are not plus size...",2.0
376,"""XL"" tagged as received, but impossibly small for my only 40"" chest.",2.0
377,"Nicely made, but impossible to wear.",2.0
378,These mittens are not sized appropriately.,2.0
379,I ordered the 2-3 for my daughter who is 3 years old and they were huge.,2.0
380,They are very difficult to get on and kept coming off of her hands.,2.0
381,way too small and NO BUTTON HOLES.,2.0
382,Total piece of crap.,2.0
383,"Not fading for a vintage look but actually flaking right off the material so that, eventually, I will be left with a plain yellow shirt.",2.0
384,Fit okay when it first arrived but after one wash it shrunk like crazy.,2.0
385,The sleeves and torso are way short.,2.0
386,Not the best material or craftsmen ship.,2.0
387,My product was not as pictured.,2.0
388,I like the horizontal design however my earrings did not come with a straight post but instead it came with a hooked back.,2.0
389,Cute purse.,1.0
390,HORRIBLE workmanship.,2.0
391,"I used it once, and the joint between the ring that holds the strap, and the edge of the purse broke.",2.0
392,"Tried putting it back together but the actual bond is TINY, so there is no way to fix it.",2.0
393,Zipper broke after one week,2.0
394,the material would not give at all and i could not even put one arm in it and i ordered a size larger than i wear i had to give it away to someone way smaller than me .,2.0
395,and i order a large i believe I don't think I could have worn an extra large that is how small it would have been,2.0
396,"The first time my wife tried it on, it flew apart.",2.0
397,The plastic thread that held it together came untied and it just fell into pieces.,2.0
398,Broke in 2 days,2.0
399,Too small!,2.0
400,This dress will fit you if are a small....and I purchased a 3x!,2.0
401,I purchased this top in a XXL and I was completely amazed when I received the top (which by the way took almost a month).,1.0
402,The inside tag read XXL but the top looked like it could fit a small child!,2.0
403,I decided to try the top on anyways but I couldn't even get it over my shoulders!,2.0
404,"Needless to say, I ended up giving the top to one of my younger cousins, who may I add is a size 2.",2.0
405,"Buyer Beware--- This tie is orange and a mix of maroon and brown, not red and black!",2.0
406,"It is not the colors showing in the pictures, and I even checked pictures on two different monitors!",2.0
407,Waste of money!,2.0
408,Could not use it as the clasp broke after 1 day without using it!,2.0
409,Size is not accurate,2.0
410,"The description of these ""pants"" states that they are heavy weight fleece.",0.0
411,They are footless tights.,0.0
412,They are nylon in texture.,0.0
413,This is not a mask but a flat cut out that may fit someone with a very large head..,2.0
414,The material was really cheap looking and the fit was terrible.,2.0
415,Way too small.,2.0
416,"Flimsy and thin, it looks like it should be hand washed as a delicate.",2.0
417,"The stitching around the edges, arm holes, hems, etc is horrid.",2.0
418,"It's a simple, loose serge stitch, like you might find in the lining of a coat before the hem was stitched.",2.0
419,"The cats were really cute, which just heightened my disappointment.",2.0
420,"Overall, I wasted my money on this one, and it was too close to Christmas to send it back.",2.0
421,Poor metal quality.,2.0
422,Cheap looking dress when seeing it in person.,2.0
423,Skirt is a few layers of see through tulle with a underskirt of cheap material that stopped mid calf and looked ridiculous.,2.0
424,This is not a Borgasets wallet.,2.0
425,Too small and a button was missing and one had fallen off in the bag,2.0
426,The material feels like a windbreaker or raincoat.,0.0
427,Feels and looks very cheap; wanted to return but shipping cost would be close to the price of shirt.,2.0
428,The quality is good enough for the price but the sizing is not US size.,2.0
429,I got the XL and it fit like a medium.,2.0
430,"But if they would have fit, I would have totally worn them.",1.0
431,To small,2.0
432,They suggest sizing up - go up 2 sizes!,2.0
433,"I ordered a medium for an average American 12 year old girl, and sadly it was still way too small.",2.0
434,Super flimsy,2.0
435,This dress was awful!,2.0
436,"It looks nothing like the picture, fits 2 sizes bigger than the sizing chart, is extremely long, the padded bra is to low, and the dress looks cheaply made.",2.0
437,Very poor quality.,2.0
438,The paint on the frames peels of after some time.,2.0
439,The hinges are poor.,2.0
440,runs really small.,2.0
441,need to order at least 1 size up,2.0
442,So it was a good price but I got a medium and I got a medium and it doesnt even for my arms.,2.0
443,If you aren't a naturally small person order extra big.,2.0
444,"I ordered a large, but it looks more like a cross between a small and a medium and the top half of the suit is very short.",2.0
445,"Also, Magnets fell out third day I had it,  and the whole mechanism where it unfolds is janky and feeble.",2.0
446,Broke the day I used it.,2.0
447,"I really liked the color, the multiple compartments, etc.",1.0
448,"However, I'd had the bag about a month and the metal claw device that holds the strap onto the bag broke.",2.0
449,Totally unusable now.,2.0
450,It fell apart as soon as I tried to put it on for the first time it's junk,2.0
451,Product was sewn inside out.,0.0
452,Poor quality control.,2.0
453,Ordered extra large and I normally a medium.,0.0
454,Way to small,2.0
455,"The worst product I have ever purchased, 2 of the zippers broke , One before I ever packed......The other while I was on vacation, Lesson learned I will never purchase luggage from you again.",2.0
456,"The backpack was nice, but it did not fit the 13"" macbook air as claimed on amazon, so I had to return it.",2.0
457,This necklace was nice but it continues to come undone.,2.0
458,Hidious and very cheaply made.,2.0
459,I have to say this was by far the worst thing I have ever purchased the description was misleading and it was unflattering and hard to understand the torso part of the outfit.,2.0
460,Interior lining ripped after only one week.,2.0
461,This is a very thin shirt.,0.0
462,T-shirt material that I thought from the picture was more of a sweater.,0.0
463,The sleeves are impossibly small.,2.0
464,It is not for a short girl as the back goes down to the middle of my calf.,2.0
465,The pant is completely a very thin see through material and oh yeah it also looks nothing like the picture showed above.,2.0
466,The size was gigantic!,0.0
467,I ordered my normal size.,0.0
468,"However when I tried them on,  I could not even get the front to close.",2.0
469,"There was a 6 inch gap, preventing me from buttoning the shirt.",2.0
470,I should have ordered  a size twice my normal size!!,2.0
471,"The email conversations were very condescending towards me, as if I were stupid.",2.0
472,NOT COLOR MINT AS PICTURED!,2.0
473,Looks like a washed out light baby blue!,0.0
474,Reviews said runs small so I ordered one size up.,2.0
475,Fit for a child.,1.0
476,Actually fits my daughter.,1.0
477,"It was even worse than I expected, it is so cheaply made that I didn't even use it as a cover up, it is now a paint shirt for my daughter.",2.0
478,"It fit, but not like in the picture.",2.0
479,Not very good quality.,2.0
480,Way too small.,2.0
481,Way too small of a hoop.,2.0
482,Doesn't fit for a small/medium sized nose.,2.0
483,I wear one size hats (actual size can be small-medium) but these beanies and stocking caps from Asia are ridiculous.,2.0
484,"I have thin, fine hair, about shoulder blade length and this fits like a stocking cap.",2.0
485,"Its not slouchy, loose or the heavy knit like shown.",2.0
486,"It's thin, small and not at all what it pictured.",2.0
487,Cheap material.,2.0
488,Not the best quality.,2.0
489,Very thin material so thin that the color doesn't show up well.,2.0
490,Would barley fit my 9 year old niece shirt had no give what so ever.,2.0
491,Quality is good but it is too small for the size and the size description!,2.0
492,"Sent a skirt made out of a thick, fuzzy material.",0.0
493,Way to small and my butt isn't that big.,2.0
494,If you're gonna get this and you have a 35 to 40 in waist go for an Xtra large or something.,2.0
495,"Also, my dress came tattered/damaged.",2.0
496,This was made for a petite body frame even if your small this is small..,2.0
497,It runs like seven year old small for a small adult,2.0
498,I was so upset and  completely crushed because I was really looking forward to it.,2.0
499,Otherwise it was an absolutely beautiful handbag just the wrong color completely off-base very disappointing.,2.0
500,"Its the same light grey I wanted but the detailing of the leather chest piece is completely different than pictured, actually all of the leather pieces are a different shape than in this picture, and the draw strings are frayed.",2.0
0,"Love this tank, but it is way way too small.",2.0
1,maybe even XL.,0.0
2,The long strap broke the day I took the purse out of the package.,2.0
3,"I got a medium and I usually am a small or medium and the medium was still to tight, but it was really cute.",2.0
4,"Pros: The shipping was faster than expected, and it is comfortable.",1.0
5,Cons: I'm a 34 C and when you put it on the areas covering stretches and it looks like you have two little diamond coverings under a lace bralette.,2.0
6,I ordered the colorful flower.,0.0
7,"The pic is of orange, yellow, green, teal and white background.",0.0
8,"The one I got is red, blue and pinkish background.",0.0
9,It will probably not last very long.,2.0
